"ContainsNumber","AllNumber","ContainsPunctuation","Length","Gazetteer","FirstLetter","LastLetter","Shape","POS","Word","NER","confidence(O)","confidence(OG)","confidence(DT)","confidence(PS)","confidence(LC)","confidence(TI)","prediction(NER)"
"0","0","0",4,"0","코","라","KKKK","NNG","코카콜라","OG",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"1","가","가","K","JKS","가","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",2,"1","호","남","KK","NNG","호남","OG",0.0,0.0,0.0,0.0,1.0,0.0,"LC"
"0","0","0",2,"1","식","품","KK","NNG","식품","OG",0.0,1.0,0.0,0.0,0.0,0.0,"OG"
"0","0","0",1,"1","의","의","K","JKG","의","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",2,"1","음","료","KK","NNG","음료","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",2,"1","사","업","KK","NNG","사업","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",2,"1","자","산","KK","NNG","자산","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"1","을","을","K","JKO","을","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",2,"1","인","수","KK","NNG","인수","O",0.0,1.0,0.0,0.0,0.0,0.0,"OG"
"0","0","0",1,"1","하","하","K","XSV","하","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"0","았","았","K","EP","았","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"1","다","다","K","EF","다","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","1",1,"1",".",".","p","SF",".","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",2,"1","세","계","KK","NNG","세계","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",2,"0","최","대","KK","NNG","최대","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",3,"0","인","넷","KKK","NNG","인터넷","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",2,"0","검","색","KK","NNG","검색","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
